gene	S10	S11	S12	S13	S13prime	S14	S15	S16	S17	S18	S19	S1	S20	S20prime	S21	S22	S23	S24	S25	S26	S27	S28	S29	S2	S30	S31	S32	S33	S34	S35	S36	S37	S38	S3	S4	S5	S6	S7	S8	S9
CAGL0A00165g	3.70545716173412	3.73292449792144	3.3529309732369	3.95756453888306	3.60589447767821	3.90483023920607	3.91019215214978	4.11190478912732	3.72543436032779	4.11833575005569	4.34612094877131	4.69025283134676	4.30142150848788	4.1218281986466	4.39049914620215	4.3906473863402	4.74540512092034	4.57075969168371	5.24224597020515	5.0372911879163	4.76034360142292	4.8693579384808	5.24180099818368	4.01009068793716	5.14504728627428	5.3442707976954	5.35239236659814	5.32593538993771	5.56039035736028	5.67756029274991	5.70310512497828	3.97577819958121	3.57644704523615	3.769220333095	3.81347122607397	3.47189418875057	3.86704415100099	2.88789380300179	3.15812343704499	3.55920802594517
CAGL0A00187g	6.92109823149332	7.13383577819972	6.9718356212847	7.19213434569928	7.32780640596463	7.35614680158738	7.29034354303761	7.39360460802125	7.61109360485343	7.71481130847657	7.36084823690972	6.06834869721383	7.46927168888203	7.45341676635712	7.68294405856695	7.68942717981689	7.46933312089431	7.4877607239086	7.43272142701156	7.46272219072908	7.59802295934785	7.69852054399739	7.40267434135809	6.17669508599422	7.57480024594878	7.32768023550008	7.24764956614727	7.48155503150988	7.56614989617914	7.27391525849651	7.59688012101181	6.1391082980765	6.25000512044273	6.29996380963404	6.28598125103941	6.29467669980373	6.19076754208331	6.70619660956787	6.58862738852935	6.7898570194812
CAGL0A00209g	8.55784223400355	8.61782150244945	8.71035216432649	8.58460420406947	8.70142139662477	8.56602973211349	8.57732676372166	8.56114842608485	8.36713134093598	8.46220411054016	8.43780943414455	8.68643356583134	8.44613295041816	8.46593847720872	8.37363579239629	8.25866980826751	8.24588184961833	7.98697147699158	8.01425826915018	8.23101673524426	7.84438277209578	7.7589319306816	7.99837105451086	8.62402281544524	7.74060385586156	7.86620224260555	7.9477196411891	7.57960140139714	7.52861176641413	7.74088056801815	7.41246969808453	8.56733525326036	8.62551980080141	8.71796389116741	8.70521801785907	8.73302839931143	8.68026262617544	8.63859364376471	8.7408143868158	8.62343659118257
CAGL0A00231g	6.33588574179822	6.2270398277091	6.29814553086869	6.32451696071497	6.3932246406262	6.17488969961088	6.46467894900836	6.52199802845505	6.4453009624512	6.09901138246876	6.01286928193194	6.52164423188228	6.01652630111317	5.97804663054332	6.42913709137182	6.10843827594837	6.02458543635291	6.00544956966785	5.82628316495818	5.76100356488989	6.16299876453498	5.85459069198905	5.59421412756186	6.40088765461277	6.38806405858432	5.72725487827517	5.52258920985302	6.55144076242595	6.16823784341873	6.57294675291904	6.53489586038038	6.38694720957827	6.49848606590858	6.5244778100327	6.50939223282391	6.31017538900884	6.43010232874653	6.25643673730754	6.30088771879878	6.31815598794334
CAGL0A00253g	7.37169376849923	7.275877961177	7.43773738886453	7.48776680717511	7.37218071278354	7.36989715125325	7.24282646435193	7.30512527657349	7.30595755662946	7.31520870295948	7.29029959637584	7.2581524652588	7.27098823440901	7.3126432061496	7.22096423938802	7.27357194387503	7.31926348880376	7.24050761385074	7.09109542214888	7.26566730708575	7.10700284397859	7.15706002022522	7.05463050179913	7.13855958177919	7.00546576957184	7.01788959746395	7.0698646370219	6.97754748311649	6.83866257673233	6.96480471944745	6.7323728083244	7.25099092120756	7.31734174841347	7.04286198065208	7.26609510430143	7.12465326761852	7.15952942246236	7.25027709048467	7.15942725636828	7.15345759548923
CAGL0A00275g	7.19193921796951	7.06191569952842	7.19965031573539	7.15616263224938	7.25579209680305	7.15642120275504	6.98137912863021	6.85600300663133	7.11054915312569	7.09824500872948	6.72164718683286	7.6026548224155	6.87993409092922	6.92245300659481	6.98733280769687	6.95838235010556	6.71584835646124	6.9400464403852	6.79813008597882	6.95481298582593	6.79660586447499	6.75523583521249	6.56301382712007	7.36984153027023	6.53610267768466	6.74843239985937	6.66168337019992	6.68078559867432	6.52918051071784	6.78213936403824	6.51831018476865	7.38043593349536	7.39229997355847	7.44066272641455	7.53758714086625	7.48193312803715	7.51334191157922	7.02525580511709	7.09645025970949	7.17643757333548
CAGL0A00297g	5.96634770958258	6.17576403078335	6.31968187862309	6.22996893831495	6.17777919737203	6.18659136408933	6.27928651896469	6.40683053950298	5.86611477030336	6.10642099585371	6.36911368457879	5.38703511929515	6.16544522194366	6.25908868186233	5.85648256711921	5.9690184602318	5.79521557406026	5.73006439272603	5.55181179603856	5.93804318326895	5.39987169155018	5.70076158251359	5.58300385855844	5.48679118451276	5.60476917094512	5.3442707976954	5.50011773679421	5.47314825727028	5.41325596345602	5.50211871428008	5.30897064855599	5.58521787343591	5.46849221272254	5.55305605071078	5.27028521210514	5.43680893038418	5.53303356457509	5.94933448427299	5.74971265405773	5.91555804344215
CAGL0A00319g	5.28504186042481	5.29669862295388	5.50949321372154	5.37083427722337	5.30304849937615	5.44669941562468	5.4904894961722	5.66043638234745	5.49740609675146	5.79408036880208	5.70467061125425	5.76754247997237	5.55130702921257	5.62867847764137	5.46642903869169	5.66206942221001	5.64028066505631	5.85743019545827	5.66025990538237	5.99367429180853	5.94966171402933	6.12035979569693	5.80829574101332	5.52042025551077	5.95630981636008	5.85806809357446	5.84495214512647	6.03774178081688	6.05662021458071	5.85449677507979	6.26188432174585	5.70304324995105	5.68633939698455	5.45949175551435	5.67172148926435	5.55209960315715	5.5389734956403	5.32182099008859	5.33532571197088	5.18429403087695
CAGL0A00341g	5.09943950998806	5.9837406521011	6.1376555562113	6.11121172889812	6.03894949911903	6.3790561700597	6.89487270794201	6.92576553701826	7.02986162523077	7.05677524661537	7.05760564016181	2.78097667873566	7.12126771074934	7.16975407538529	7.12266346667209	7.2931915768726	7.34168163271963	7.48711505131413	7.18390170841937	7.43473156843849	7.32052645082967	7.28050333428348	7.00088924906356	2.90219902970358	7.12068785546482	7.48647347529501	7.05606635484812	7.30197872853098	7.10766688739918	6.77676975298816	6.99464315559286	3.43710789230239	3.63748067379097	2.95201178441914	3.24392562672508	3.09621976898568	3.55162302256027	4.54906255479816	4.3808409626415	4.6725756545817
CAGL0A00363g	9.17830976098384	8.76867675904814	8.77748143157224	9.25399000088809	9.34608677214257	9.3193656057832	8.30858940429729	8.27531766158071	9.07102367187582	9.11522226553874	8.44414167987152	8.49187965847224	8.41256357631324	8.35658934416936	9.29969944809514	9.19177245225417	8.47610300134612	9.46158747992368	8.26624821881448	8.01067031981603	9.50263794659414	9.1144211953851	8.1940381647175	8.32263884581419	9.31704031014506	8.43470091516338	7.95352021963874	9.20317198712053	8.91767579315301	8.10456668134796	8.89311130372175	8.13239971086328	8.21683383858746	8.77247725845976	8.55236202166561	8.45050721594918	8.40418698143597	8.74099469373699	8.72632769695518	9.19430518534833
